Date_Id,Date,Day,Month,Year,Day_Week,Week_Number
20250525,2025-05-25,25,5,2025,Sunday,21
20250526,2025-05-26,26,5,2025,Monday,22
20250527,2025-05-27,27,5,2025,Tuesday,22
20250528,2025-05-28,28,5,2025,Wednesday,22
20250529,2025-05-29,29,5,2025,Thursday,22
20250530,2025-05-30,30,5,2025,Friday,22
20250531,2025-05-31,31,5,2025,Saturday,22
20250601,2025-06-01,1,6,2025,Sunday,22
20250602,2025-06-02,2,6,2025,Monday,23
20250603,2025-06-03,3,6,2025,Tuesday,23
20250604,2025-06-04,4,6,2025,Wednesday,23
20250605,2025-06-05,5,6,2025,Thursday,23
20250606,2025-06-06,6,6,2025,Friday,23
20250607,2025-06-07,7,6,2025,Saturday,23
20250608,2025-06-08,8,6,2025,Sunday,23
20250609,2025-06-09,9,6,2025,Monday,24
20250610,2025-06-10,10,6,2025,Tuesday,24
20250611,2025-06-11,11,6,2025,Wednesday,24
20250612,2025-06-12,12,6,2025,Thursday,24
20250613,2025-06-13,13,6,2025,Friday,24
20250614,2025-06-14,14,6,2025,Saturday,24
20250615,2025-06-15,15,6,2025,Sunday,24
20250616,2025-06-16,16,6,2025,Monday,25
20250617,2025-06-17,17,6,2025,Tuesday,25
20250618,2025-06-18,18,6,2025,Wednesday,25
20250619,2025-06-19,19,6,2025,Thursday,25
20250620,2025-06-20,20,6,2025,Friday,25
20250621,2025-06-21,21,6,2025,Saturday,25
20250622,2025-06-22,22,6,2025,Sunday,25
20250623,2025-06-23,23,6,2025,Monday,26
20250624,2025-06-24,24,6,2025,Tuesday,26
20250625,2025-06-25,25,6,2025,Wednesday,26
20250626,2025-06-26,26,6,2025,Thursday,26
20250627,2025-06-27,27,6,2025,Friday,26
20250628,2025-06-28,28,6,2025,Saturday,26
20250629,2025-06-29,29,6,2025,Sunday,26
20250630,2025-06-30,30,6,2025,Monday,27
20250701,2025-07-01,1,7,2025,Tuesday,27
20250702,2025-07-02,2,7,2025,Wednesday,27
20250703,2025-07-03,3,7,2025,Thursday,27
20250704,2025-07-04,4,7,2025,Friday,27
20250705,2025-07-05,5,7,2025,Saturday,27
20250706,2025-07-06,6,7,2025,Sunday,27
20250707,2025-07-07,7,7,2025,Monday,28
20250708,2025-07-08,8,7,2025,Tuesday,28
20250709,2025-07-09,9,7,2025,Wednesday,28
20250710,2025-07-10,10,7,2025,Thursday,28
