Date_Id,City_Id,Temperature,Wind_Speed,Rain,Score
20250425,1,16,8,280,8
20250426,1,16,8,0,10
20250427,1,16,8,320,8
20250428,1,16,7,1660,7
20250429,1,17,8,110,8
20250430,1,18,7,0,12
20250501,1,20,9,0,12
20250502,1,19,8,0,12
20250503,1,19,8,0,12
20250504,1,18,12,10,9
20250505,1,19,18,2930,8
20250506,1,18,12,4020,5
20250507,1,16,9,290,8
20250508,1,16,10,40,7
20250509,1,16,8,0,10
20250510,1,18,8,10,8
20250511,1,17,7,60,8
20250512,1,18,9,50,10
20250513,1,18,7,280,8
20250514,1,18,8,270,10
20250515,1,19,8,30,10
20250516,1,18,17,270,7
20250517,1,16,12,30,7
20250518,1,18,10,150,7
20250519,1,19,8,0,12
20250520,1,19,10,1370,9
20250521,1,18,11,280,9
20250522,1,18,11,250,9
20250523,1,18,11,720,7
20250524,1,18,12,1170,9
20250525,1,19,18,0,11
20250526,1,19,8,0,12
20250527,1,20,9,210,12
20250528,1,21,10,0,13
20250529,1,23,10,0,15
20250530,1,23,9,0,16
20250531,1,24,10,0,15
20250601,1,24,10,0,16
20250602,1,24,9,0,16
20250603,1,24,9,0,16
20250604,1,24,8,0,16
20250605,1,24,8,0,16
20250606,1,24,8,0,16
20250607,1,26,11,0,15
20250608,1,26,12,0,15
20250609,1,25,9,0,16
20250610,1,25,7,0,16
20250611,1,26,7,0,16
20250612,1,28,8,0,16
20250613,1,29,9,0,14
20250614,1,29,10,0,13
20250615,1,29,8,50,12
20250616,1,29,8,0,14
20250617,1,26,11,210,13
20250618,1,25,11,80,13
20250619,1,27,8,60,14
20250620,1,28,9,0,16
20250621,1,28,9,0,14
20250622,1,27,9,110,14
20250623,1,28,10,0,16
20250624,1,27,7,0,16
20250625,1,28,8,0,14
20250626,1,28,7,0,14
20250627,1,30,9,0,14
20250628,1,31,14,0,11
20250629,1,31,14,0,11
20250630,1,30,10,0,11
20250701,1,31,9,0,12
20250702,1,32,7,0,12
20250703,1,32,7,0,12
20250704,1,32,8,0,12
20250705,1,30,8,0,14
20250706,1,28,1,0,17
20250707,1,28,1,0,17
20250708,1,27,1,27,16
20250709,1,29,2,0,17
20250710,1,26,2,0,18
20250425,2,21,10,0,13
20250426,2,21,11,0,13
20250427,2,20,11,140,9
20250428,2,21,12,350,11
20250429,2,19,17,170,9
20250430,2,20,17,60,9
20250501,2,20,16,180,9
20250502,2,20,12,90,11
20250503,2,21,8,0,14
20250504,2,21,8,360,12
20250505,2,19,13,170,9
20250506,2,17,17,300,7
20250507,2,18,18,0,9
20250508,2,19,13,10,9
20250509,2,20,13,150,11
20250510,2,20,16,70,11
20250511,2,20,13,150,9
20250512,2,21,10,870,11
20250513,2,19,16,0,11
20250514,2,18,17,10,9
20250515,2,18,18,0,9
20250516,2,18,17,0,11
20250517,2,19,15,80,9
20250518,2,18,9,0,12
20250519,2,19,6,0,12
20250520,2,19,8,0,12
20250521,2,19,11,0,11
20250522,2,19,7,0,12
20250523,2,18,14,0,9
20250524,2,16,18,0,9
20250525,2,14,17,0,9
20250526,2,15,13,10,7
20250527,2,16,12,0,9
20250528,2,16,10,0,10
20250529,2,17,12,0,9
20250530,2,16,14,0,9
20250531,2,15,10,0,9
20250601,2,14,10,0,10
20250602,2,16,10,0,10
20250603,2,16,8,0,10
20250604,2,16,5,0,11
20250605,2,16,10,0,9
20250606,2,16,14,0,9
20250607,2,17,14,0,9
20250608,2,16,16,80,7
20250609,2,15,12,0,9
20250610,2,15,12,0,9
20250611,2,15,6,0,10
20250612,2,16,6,0,11
20250613,2,16,11,0,9
20250614,2,14,18,0,9
20250615,2,14,21,0,9
20250616,2,14,16,10,7
20250617,2,15,14,10,7
20250618,2,13,8,0,10
20250619,2,14,7,0,10
20250620,2,18,7,0,10
20250621,2,18,9,0,10
20250622,2,17,13,0,9
20250623,2,15,11,0,9
20250624,2,17,10,0,10
20250625,2,15,13,0,9
20250626,2,15,11,0,9
20250627,2,17,12,0,9
20250628,2,16,10,0,9
20250629,2,16,16,200,7
20250630,2,16,14,0,9
20250701,2,16,17,0,9
20250702,2,14,20,0,9
20250703,2,14,9,0,10
20250704,2,13,14,0,9
20250705,2,13,12,0,9
20250706,2,14,3,0,13
20250707,2,15,2,15,14
20250708,2,14,3,0,12
20250709,2,14,4,0,12
20250710,2,13,4,36,11
20250425,3,11,9,0,10
20250426,3,13,11,0,9
20250427,3,15,11,10,7
20250428,3,16,10,0,10
20250429,3,19,10,0,12
20250430,3,21,7,0,14
20250501,3,22,9,0,14
20250502,3,22,7,0,16
20250503,3,20,12,390,9
20250504,3,13,17,0,9
20250505,3,10,17,0,7
20250506,3,11,16,0,9
20250507,3,12,15,0,9
20250508,3,13,13,0,9
20250509,3,15,13,0,9
20250510,3,17,13,0,9
20250511,3,18,11,990,7
20250512,3,16,10,160,8
20250513,3,16,4,60,9
20250514,3,18,7,0,12
20250515,3,14,16,0,9
20250516,3,14,14,0,9
20250517,3,14,13,0,9
20250518,3,15,8,0,10
20250519,3,16,10,0,9
20250520,3,19,12,0,11
20250521,3,15,7,770,8
20250522,3,13,13,70,7
20250523,3,13,9,0,10
20250524,3,14,11,0,9
20250525,3,17,17,320,7
20250526,3,14,12,0,9
20250527,3,16,18,40,7
20250528,3,17,19,320,7
20250529,3,18,10,0,12
20250530,3,22,7,0,16
20250531,3,23,9,240,14
20250601,3,19,9,200,10
20250602,3,18,9,0,12
20250603,3,19,13,0,11
20250604,3,17,12,110,7
20250605,3,16,20,830,7
20250606,3,17,17,540,7
20250607,3,16,18,1350,7
20250608,3,15,16,180,7
20250609,3,16,6,0,10
20250610,3,18,9,0,12
20250611,3,21,10,0,13
20250612,3,25,12,0,15
20250613,3,26,10,890,13
20250614,3,23,10,80,13
20250615,3,19,11,0,11
20250616,3,20,7,0,12
20250617,3,23,8,0,16
20250618,3,23,9,0,16
20250619,3,24,14,0,15
20250620,3,26,11,0,15
20250621,3,28,8,0,16
20250622,3,27,10,20,13
20250623,3,23,14,0,15
20250624,3,24,9,0,16
20250625,3,26,9,0,16
20250626,3,22,15,280,13
20250627,3,23,10,10,14
20250628,3,25,7,0,16
20250629,3,25,9,0,16
20250630,3,28,8,0,16
20250701,3,32,8,0,12
20250702,3,26,13,1840,12
20250703,3,21,12,0,13
20250704,3,22,9,0,14
20250705,3,22,10,0,16
20250706,3,17,3,1000,12
20250707,3,17,4,1525,10
20250708,3,19,3,20,14
20250709,3,21,2,0,17
20250710,3,23,2,0,16
