Date,Temperature,Wind_Speed,Rain,Score
2025-04-25,11,9,0,10
2025-04-26,13,11,0,9
2025-04-27,15,11,10,7
2025-04-28,16,10,0,10
2025-04-29,19,10,0,12
2025-04-30,21,7,0,14
2025-05-01,22,9,0,14
2025-05-02,22,7,0,16
2025-05-03,20,12,390,9
2025-05-04,13,17,0,9
2025-05-05,10,17,0,7
2025-05-06,11,16,0,9
2025-05-07,12,15,0,9
2025-05-08,13,13,0,9
2025-05-09,15,13,0,9
2025-05-10,17,13,0,9
2025-05-11,18,11,990,7
2025-05-12,16,10,160,8
2025-05-13,16,4,60,9
2025-05-14,18,7,0,12
2025-05-15,14,16,0,9
2025-05-16,14,14,0,9
2025-05-17,14,13,0,9
2025-05-18,15,8,0,10
2025-05-19,16,10,0,9
2025-05-20,19,12,0,11
2025-05-21,15,7,770,8
2025-05-22,13,13,70,7
2025-05-23,13,9,0,10
2025-05-24,14,11,0,9
2025-05-25,17,17,320,7
2025-05-26,14,12,0,9
2025-05-27,16,18,40,7
2025-05-28,17,19,320,7
2025-05-29,18,10,0,12
2025-05-30,22,7,0,16
2025-05-31,23,9,240,14
2025-06-01,19,9,200,10
2025-06-02,18,9,0,12
2025-06-03,19,13,0,11
2025-06-04,17,12,110,7
2025-06-05,16,20,830,7
2025-06-06,17,17,540,7
2025-06-07,16,18,1350,7
2025-06-08,15,16,180,7
2025-06-09,16,6,0,10
2025-06-10,18,9,0,12
2025-06-11,21,10,0,13
2025-06-12,25,12,0,15
2025-06-13,26,10,890,13
2025-06-14,23,10,80,13
2025-06-15,19,11,0,11
2025-06-16,20,7,0,12
2025-06-17,23,8,0,16
2025-06-18,23,9,0,16
2025-06-19,24,14,0,15
2025-06-20,26,11,0,15
2025-06-21,28,8,0,16
2025-06-22,27,10,20,13
2025-06-23,23,14,0,15
2025-06-24,24,9,0,16
2025-06-25,26,9,0,16
2025-06-26,22,15,280,13
2025-06-27,23,10,10,14
2025-06-28,25,7,0,16
2025-06-29,25,9,0,16
2025-06-30,28,8,0,16
2025-07-01,32,8,0,12
2025-07-02,26,13,1840,12
2025-07-03,21,12,0,13
2025-07-04,22,9,0,14
2025-07-05,22,10,0,16
2025-07-06,17,3,1000,12
2025-07-07,17,4,1525,10
2025-07-08,19,3,20,14
2025-07-09,21,2,0,17
2025-07-10,23,2,0,16
