Date,Temperature,Wind_Speed,Rain,Score
2025-04-25,16,8,280,8
2025-04-26,16,8,0,10
2025-04-27,16,8,320,8
2025-04-28,16,7,1660,7
2025-04-29,17,8,110,8
2025-04-30,18,7,0,12
2025-05-01,20,9,0,12
2025-05-02,19,8,0,12
2025-05-03,19,8,0,12
2025-05-04,18,12,10,9
2025-05-05,19,18,2930,8
2025-05-06,18,12,4020,5
2025-05-07,16,9,290,8
2025-05-08,16,10,40,7
2025-05-09,16,8,0,10
2025-05-10,18,8,10,8
2025-05-11,17,7,60,8
2025-05-12,18,9,50,10
2025-05-13,18,7,280,8
2025-05-14,18,8,270,10
2025-05-15,19,8,30,10
2025-05-16,18,17,270,7
2025-05-17,16,12,30,7
2025-05-18,18,10,150,7
2025-05-19,19,8,0,12
2025-05-20,19,10,1370,9
2025-05-21,18,11,280,9
2025-05-22,18,11,250,9
2025-05-23,18,11,720,7
2025-05-24,18,12,1170,9
2025-05-25,19,18,0,11
2025-05-26,19,8,0,12
2025-05-27,20,9,210,12
2025-05-28,21,10,0,13
2025-05-29,23,10,0,15
2025-05-30,23,9,0,16
2025-05-31,24,10,0,15
2025-06-01,24,10,0,16
2025-06-02,24,9,0,16
2025-06-03,24,9,0,16
2025-06-04,24,8,0,16
2025-06-05,24,8,0,16
2025-06-06,24,8,0,16
2025-06-07,26,11,0,15
2025-06-08,26,12,0,15
2025-06-09,25,9,0,16
2025-06-10,25,7,0,16
2025-06-11,26,7,0,16
2025-06-12,28,8,0,16
2025-06-13,29,9,0,14
2025-06-14,29,10,0,13
2025-06-15,29,8,50,12
2025-06-16,29,8,0,14
2025-06-17,26,11,210,13
2025-06-18,25,11,80,13
2025-06-19,27,8,60,14
2025-06-20,28,9,0,16
2025-06-21,28,9,0,14
2025-06-22,27,9,110,14
2025-06-23,28,10,0,16
2025-06-24,27,7,0,16
2025-06-25,28,8,0,14
2025-06-26,28,7,0,14
2025-06-27,30,9,0,14
2025-06-28,31,14,0,11
2025-06-29,31,14,0,11
2025-06-30,30,10,0,11
2025-07-01,31,9,0,12
2025-07-02,32,7,0,12
2025-07-03,32,7,0,12
2025-07-04,32,8,0,12
2025-07-05,30,8,0,14
2025-07-06,28,1,0,17
2025-07-07,28,1,0,17
2025-07-08,27,1,27,16
2025-07-09,29,2,0,17
2025-07-10,26,2,0,18
